Name,Description,package,Manufacturer part nr,Vendor part nr,quantity,unit price,extended price,
gestalt network BOM,,,,,,,,
usb to serial cable,CABLE USB RS485 WIRE END 1.8M,,USB-RS485-WE-1800-BT,768-1041-ND,1,30,30,
fabbus plugs,10pin idc connector .1 in ,,,,,,,
fabbus ribbon cabling,22 gauge 10 wire ribbon,,,,,,,
fabbus resistors,540 ohms?,,,,,,,
,,,,,,,,
gestalt node BOM,,,,,,,,
motor jack,molex kk,kk,22-05-3041,WM4302-ND,1,0.71,0.71,
motor plug,molex kk with wings,kk,22013047,WM2002-ND,1,0.2,0.2,note don't need this for node
motor crimps,molex kk,kk,8500114,WM1114-ND,4,0.18,0.72,note don't need this for node
,,,,,,,,
microcontroller,IC MCU 8BIT 32KB FLASH 32TQFP,tqfp,atmega328p,ATMEGA328P-ANRCT-ND,1,4.03,4.03,
stepper motor driver,IC MOTOR DRIVER PAR 24TSSOP,24tssop,A4982SLPTR-T,620-1352-1-ND,1,3.66,3.66,
differential bus transceiver,IC DIFF BUS TRANSCEIVER 8-SOIC,8-soic,SN75176AD,296-6857-5-ND,1,0.96,0.96,
5v regulator,IC REG LDO 5V 1.5A DDPAK,d2pak-3,TL780-05CKTTR,296-20777-1-ND,1,0.95,0.95,
,,,,,,,,
button,SWITCH TACTILE SPST-NO 0.05A 24V,"Through Hole, Right Angle",B3F-3152,SW410-ND,1,0.54,0.54,
potentiometer,TRIMMER 5K OHM 0.25W SMD,"top adjustment, Gull Wing",PVG3G502C01R00,490-6996-1-ND,1,1.04,1.04,
,,,,,,,,
40mm x 40mm fan,FAN 40X10MM 12VDC 0.96W 7CFM,,MB40101V2-000U-A99,259-1564-ND,1,1,4.53,"note, don't need this"
fan connector,,,,,,,0,"note, don't need this"
,,,,,,,,
18.432MHz crystal,CRYSTAL 18.432MHZ 18PF SMD,hc49/us,ECS-184-18-5PX-TR,XC1285CT-ND,1,0.56,0.56,
avrisp header,6 pin idc connector .1 inch,2row3pos 0.1 inch smt,FCI - 95278-101A06LF,609-3487-1-ND,1,1.1,1.1,
fabbus header,10 pin idc connector .1 inch,2row5pos 0.1inch smt,FCI - 95278-101A10LF,609-3483-6-ND,1,1.27,1.27,
,,,,,,,,
capacitor,22 pF,c0805,,,2,0.1,0.2,
capacitor,1 nF,c0805,,,1,0.1,0.1,
capacitor,200 nF,c0805,,,2,0.1,0.2,note this can be replaced with 0.22uF if convenient
capacitor,0.22uF,c0805,,,2,0.1,0.2,
capacitor,0.1 uF,c0805,,,3,0.1,0.3,
polarized capacitor,100 uF,panasonic D (6.3mm diameter),EEE-0JA101SP,PCE3852CT-ND,1,0.46,0.46,
,,,,,,,,
current sense resistor,"0.1 ohms, 1W",r1206,,P.10AVCT-ND,2,0.9,1.8,
resistor,10k ohms,r0805,,,8,0.1,0.8,
resistor,120 ohms,r0805,,,1,0.1,0.1,
resistor,560 ohms,r0805,,,1,0.1,0.1,
led,blue,led0603,,,1,0.17,0.17,
,,,,,,,,
,,,,,,,24.53,
